species      specimen
Chemeg       sample190
Ecibur_N     sample297
Ecibur_N     sample227
Ecibur_N     sample277
Ecibur_S     sample55
Ecibur_S     sample416
Ecibur_S     sample84
Ecidre       sample247
Ecidre       sample329
Ecidre       sample45
Ecidul       sample17
Ecidul       sample313
Ecidul       sample51
Eciham       sample50
Eciham       sample310
Eciham       sample216
Eciluc_N     sample342
Eciluc_N     sample82
Eciluc_N     sample414
Eciluc_S     sample29
Eciluc_S     sample118
Eciluc_S     sample201
Ecimex_N     sample229
Ecimex_N     sample393
Ecimex_N     sample240
Ecimex_S     sample256
Ecimex_S     sample214
Ecimex_S     sample121
Eciqua       sample179
Eciqua       sample59
Ecirap       sample401
Ecirap       sample287
Ecirap       sample295
Ecivag_N     sample264
Ecivag_N     sample296
Ecivag_N     sample384
Ecivag_S     sample180
Ecivag_S     sample176
Ecivag_S     sample178
Labcoe       sample21
Labner       sample33
Labpra       sample119
Labspi       sample57
Neileg       sample122
Neimex       sample98
Nomese       sample139
Nomese       sample328
Nomhar       sample69
