species      specimen
Chemeg       sample190
Ecibur_N     sample277
Ecibur_S     sample84
Ecidre       sample45
Ecidul       sample51
Eciham       sample216
Eciluc_N     sample414
Eciluc_S     sample201
Ecimex_N     sample240
Ecimex_S     sample121
Eciqua       sample59
Ecirap       sample295
Ecivag_N     sample384
Ecivag_S     sample178
Labcoe       sample21
Labner       sample33
Labpra       sample119
Labspi       sample57
Neileg       sample122
Neimex       sample98
Nomese       sample328
Nomhar       sample69
